From  2017/07/19-17:10:46 to  2017/07/19-17:11:11 the xmit rate from node 8 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:12:46 to  2017/07/19-17:13:11 the xmit rate from node 8 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:14:46 to  2017/07/19-17:15:11 the xmit rate from node 8 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:16:46 to  2017/07/19-17:17:11 the xmit rate from node 8 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:18:46 to  2017/07/19-17:19:11 the xmit rate from node 8 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:20:46 to  2017/07/19-17:21:11 the xmit rate from node 8 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:22:46 to  2017/07/19-17:23:11 the xmit rate from node 8 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:24:46 to  2017/07/19-17:25:11 the xmit rate from node 8 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:26:46 to  2017/07/19-17:27:11 the xmit rate from node 8 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:28:46 to  2017/07/19-17:29:11 the xmit rate from node 8 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:30:46 to  2017/07/19-17:31:11 the xmit rate from node 8 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:32:46 to  2017/07/19-17:33:11 the xmit rate from node 8 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:34:46 to  2017/07/19-17:35:11 the xmit rate from node 8 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:36:46 to  2017/07/19-17:37:11 the xmit rate from node 8 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:09:05 to  2017/07/19-17:09:36 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:11:05 to  2017/07/19-17:11:36 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
