From  2017/07/20-16:01:52 to  2017/07/20-16:02:17 the xmit rate from node 8 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:03:52 to  2017/07/20-16:04:17 the xmit rate from node 8 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:05:52 to  2017/07/20-16:06:17 the xmit rate from node 8 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:07:52 to  2017/07/20-16:08:17 the xmit rate from node 8 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:09:52 to  2017/07/20-16:10:17 the xmit rate from node 8 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:11:52 to  2017/07/20-16:12:17 the xmit rate from node 8 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:48:11 to  2017/07/20-15:48:42 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:50:11 to  2017/07/20-15:50:42 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:52:11 to  2017/07/20-15:52:42 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:54:11 to  2017/07/20-15:54:42 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:56:11 to  2017/07/20-15:56:42 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:58:11 to  2017/07/20-15:58:42 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:00:11 to  2017/07/20-16:00:42 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:02:11 to  2017/07/20-16:02:42 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:04:11 to  2017/07/20-16:04:42 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:06:11 to  2017/07/20-16:06:42 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:08:11 to  2017/07/20-16:08:42 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:10:11 to  2017/07/20-16:10:42 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:12:11 to  2017/07/20-16:12:42 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:48:39 to  2017/07/20-15:49:05 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:50:39 to  2017/07/20-15:51:05 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:52:39 to  2017/07/20-15:53:05 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:54:39 to  2017/07/20-15:55:05 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:56:39 to  2017/07/20-15:57:05 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:58:39 to  2017/07/20-15:59:05 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:00:39 to  2017/07/20-16:01:05 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:02:39 to  2017/07/20-16:03:05 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:04:39 to  2017/07/20-16:05:05 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:06:39 to  2017/07/20-16:07:05 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:08:39 to  2017/07/20-16:09:05 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:10:39 to  2017/07/20-16:11:05 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:12:39 to  2017/07/20-16:13:05 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:49:02 to  2017/07/20-15:49:29 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:51:02 to  2017/07/20-15:51:29 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:53:02 to  2017/07/20-15:53:29 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:55:02 to  2017/07/20-15:55:29 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:57:02 to  2017/07/20-15:57:29 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:59:02 to  2017/07/20-15:59:29 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:01:02 to  2017/07/20-16:01:29 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:03:02 to  2017/07/20-16:03:29 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:05:02 to  2017/07/20-16:05:29 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:07:02 to  2017/07/20-16:07:29 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:09:02 to  2017/07/20-16:09:29 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
