From  2017/01/23-15:30:22 to  2017/01/23-15:30:52 the xmit rate from node 22 to node 1 is    1000000 bytes/sec, confidence 1.000000.
From  2017/01/23-15:32:37 to  2017/01/23-15:33:07 the xmit rate from node 22 to node 1 is    1000000 bytes/sec, confidence 1.000000.
From  2017/01/23-15:34:52 to  2017/01/23-15:35:22 the xmit rate from node 22 to node 1 is    1000000 bytes/sec, confidence 1.000000.
From  2017/01/23-15:37:07 to  2017/01/23-15:37:37 the xmit rate from node 22 to node 1 is    1000000 bytes/sec, confidence 1.000000.
From  2017/01/23-15:39:22 to  2017/01/23-15:39:52 the xmit rate from node 22 to node 1 is    1000000 bytes/sec, confidence 1.000000.
From  2017/01/23-15:30:22 to  2017/01/28-06:37:02 the xmit rate from node 22 to node 5 is    1000000 bytes/sec, confidence 1.000000.
From  2017/01/23-15:30:22 to  2017/01/28-06:37:02 the xmit rate from node 22 to node 22 is    1000000 bytes/sec, confidence 1.000000.
From  2017/01/23-15:30:22 to  2017/01/28-06:37:02 the xmit rate from node 33 to node 5 is    1000000 bytes/sec, confidence 1.000000.
From  2017/01/23-15:30:22 to  2017/01/28-06:37:02 the xmit rate from node 33 to node 33 is    1000000 bytes/sec, confidence 1.000000.
From  2017/01/23-15:30:22 to  2017/01/28-06:37:02 the xmit rate from node 44 to node 5 is    1000000 bytes/sec, confidence 1.000000.
From  2017/01/23-15:30:22 to  2017/01/28-06:37:02 the xmit rate from node 44 to node 44 is    1000000 bytes/sec, confidence 1.000000.
