From  2017/07/19-16:59:30 to  2017/07/19-16:59:55 the xmit rate from node 8 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:01:30 to  2017/07/19-17:01:55 the xmit rate from node 8 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:03:30 to  2017/07/19-17:03:55 the xmit rate from node 8 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:05:30 to  2017/07/19-17:05:55 the xmit rate from node 8 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:07:30 to  2017/07/19-17:07:55 the xmit rate from node 8 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:09:30 to  2017/07/19-17:09:55 the xmit rate from node 8 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:11:30 to  2017/07/19-17:11:55 the xmit rate from node 8 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:13:30 to  2017/07/19-17:13:55 the xmit rate from node 8 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:15:30 to  2017/07/19-17:15:55 the xmit rate from node 8 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:17:30 to  2017/07/19-17:17:55 the xmit rate from node 8 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:19:30 to  2017/07/19-17:19:55 the xmit rate from node 8 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:21:30 to  2017/07/19-17:21:55 the xmit rate from node 8 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:23:30 to  2017/07/19-17:23:55 the xmit rate from node 8 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:25:30 to  2017/07/19-17:25:55 the xmit rate from node 8 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-16:57:49 to  2017/07/19-16:58:20 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-16:59:49 to  2017/07/19-17:00:20 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:01:49 to  2017/07/19-17:02:20 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:03:49 to  2017/07/19-17:04:20 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:05:49 to  2017/07/19-17:06:20 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:07:49 to  2017/07/19-17:08:20 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:09:49 to  2017/07/19-17:10:20 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:11:49 to  2017/07/19-17:12:20 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:13:49 to  2017/07/19-17:14:20 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:15:49 to  2017/07/19-17:16:20 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:17:49 to  2017/07/19-17:18:20 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:19:49 to  2017/07/19-17:20:20 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
