From  2017/07/20-15:23:12 to  2017/07/20-15:23:30 the xmit rate from node 6 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:23:55 to  2017/07/20-15:24:04 the xmit rate from node 6 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:24:35 to  2017/07/20-15:24:49 the xmit rate from node 6 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:25:12 to  2017/07/20-15:25:30 the xmit rate from node 6 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:25:55 to  2017/07/20-15:26:04 the xmit rate from node 6 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:26:35 to  2017/07/20-15:26:49 the xmit rate from node 6 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:27:12 to  2017/07/20-15:27:30 the xmit rate from node 6 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:27:55 to  2017/07/20-15:28:04 the xmit rate from node 6 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:28:35 to  2017/07/20-15:28:49 the xmit rate from node 6 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:29:12 to  2017/07/20-15:29:30 the xmit rate from node 6 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:29:55 to  2017/07/20-15:30:04 the xmit rate from node 6 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:30:35 to  2017/07/20-15:30:49 the xmit rate from node 6 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:31:12 to  2017/07/20-15:31:30 the xmit rate from node 6 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:31:55 to  2017/07/20-15:32:04 the xmit rate from node 6 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:32:35 to  2017/07/20-15:32:49 the xmit rate from node 6 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:33:12 to  2017/07/20-15:33:30 the xmit rate from node 6 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:33:55 to  2017/07/20-15:34:04 the xmit rate from node 6 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:34:35 to  2017/07/20-15:34:49 the xmit rate from node 6 to node 5 is     500000 bytes/sec, confidence 1.000000.
